1,액션
2,드라마
3,코미디
4,판타지
5,SF
6,모험
7,범죄
8,가족
9,스릴러
10,애니메이션
11,전쟁
12,미스터리
13,멜로/로맨스
14,서사
15,다큐멘터리
16,뮤지컬
